N,Problem,Strategy,Time_s
10000,P1,For,0.0009753039998940949
10000,P1,For,0.0009465999999065389
10000,P1,For,0.0009694629998193705
10000,P1,For,0.0009792610001113644
10000,P1,For,0.0013415729999906034
10000,P1,For,0.0009105629999339726
10000,P1,For,0.0009288470000683446
10000,P1,For,0.0009326339998096955
10000,P1,For,0.0009063640000022133
10000,P1,For,0.0009732199998779834
10000,P1,For,0.0008553389998269267
10000,P1,For,0.0008747050001147727
10000,P1,For,0.0008941319999848929
10000,P1,For,0.0008684330000505724
10000,P1,For,0.0009011049999116949
10000,P1,For,0.001120126999921922
10000,P1,For,0.0009301089999098622
10000,P1,For,0.0009456579998641246
10000,P1,For,0.0009643529999721068
10000,P1,For,0.0009124459998020029
10000,P1,For,0.0008905240001695347
10000,P1,For,0.0008741139999983716
10000,P1,For,0.0008801149999726476
10000,P1,For,0.001100709999946048
10000,P1,For,0.0009015549999276118
10000,P1,For,0.0008837620000576862
10000,P1,For,0.0008525230000486772
10000,P1,For,0.0008605079999597365
10000,P1,For,0.0008917370000744995
10000,P1,For,0.0008692849999079044
10000,P1,For,0.0008703959999820654
10000,P1,For,0.0008859760000632377
10000,P1,For,0.0008677210000769264
10000,P1,For,0.000883541000121113
10000,P1,For,0.0009722580000470771
10000,P1,For,0.0008830609999677108
10000,P1,For,0.0010222119999525603
10000,P1,For,0.0012580759998854774
10000,P1,For,0.0013225479999618983
10000,P1,For,0.0016028540001116198
10000,P1,For,0.000989229999959207
10000,P1,For,0.0009415000001808949
10000,P1,For,0.0008980289999271918
10000,P1,For,0.0009022169999752805
10000,P1,For,0.0014562080000359856
10000,P1,For,0.0009100009999656322
10000,P1,For,0.0008718190001673065
10000,P1,For,0.0009352789998047228
10000,P1,For,0.0013334269999631942
10000,P1,For,0.001628221999908419
10000,P1,Comp,0.0013562199999341829
10000,P1,Comp,0.0009360500000639149
10000,P1,Comp,0.0009473109998907603
10000,P1,Comp,0.0009541239999180107
10000,P1,Comp,0.0009238570000889013
10000,P1,Comp,0.0008803850000731472
10000,P1,Comp,0.0008691439998074202
10000,P1,Comp,0.0009080779998384969
10000,P1,Comp,0.0009314809999523277
10000,P1,Comp,0.0008727709998765931
10000,P1,Comp,0.0008735429998978361
10000,P1,Comp,0.000898528999869086
10000,P1,Comp,0.0008953730000484939
10000,P1,Comp,0.0008951530001013452
10000,P1,Comp,0.000921082000104434
10000,P1,Comp,0.0009063439999863476
10000,P1,Comp,0.0009018660000492673
10000,P1,Comp,0.0009348480000426207
10000,P1,Comp,0.0008578229999329778
10000,P1,Comp,0.0008447879999948782
10000,P1,Comp,0.0008453400000689726
10000,P1,Comp,0.0008254730000771815
10000,P1,Comp,0.0008411819999309955
10000,P1,Comp,0.0008420540000315668
10000,P1,Comp,0.0008478849999846716
10000,P1,Comp,0.0008469019999211014
10000,P1,Comp,0.0008394980000048236
10000,P1,Comp,0.0008488969999689289
10000,P1,Comp,0.0008767990000251302
10000,P1,Comp,0.000853023999979996
10000,P1,Comp,0.0008724799999981769
10000,P1,Comp,0.0008679420000134996
10000,P1,Comp,0.0008745949999138247
10000,P1,Comp,0.0008770689998982562
10000,P1,Comp,0.0008649369999602641
10000,P1,Comp,0.0008731020000141143
10000,P1,Comp,0.0008610489999227866
10000,P1,Comp,0.0008464009999897826
10000,P1,Comp,0.0008519420000538958
10000,P1,Comp,0.0008613889999651292
10000,P1,Comp,0.0008481949998895288
10000,P1,Comp,0.000851330999921629
10000,P1,Comp,0.0008524230001967226
10000,P1,Comp,0.0008586550000018178
10000,P1,Comp,0.0008550380000542646
10000,P1,Comp,0.0008553579998533678
10000,P1,Comp,0.0008562909999909607
10000,P1,Comp,0.0008554779999485618
10000,P1,Comp,0.0008562599998640508
10000,P1,Comp,0.0008590760000970477
10000,P1,Gen,0.0009558070000821317
10000,P1,Gen,0.0009588229997916642
10000,P1,Gen,0.0009510479999335075
10000,P1,Gen,0.0009489850001500599
10000,P1,Gen,0.0009497060000285273
10000,P1,Gen,0.0009530419999919104
10000,P1,Gen,0.0009539740001400787
10000,P1,Gen,0.0009355590000268421
10000,P1,Gen,0.0009146300001248164
10000,P1,Gen,0.0009167939999770169
10000,P1,Gen,0.0009172749998924701
10000,P1,Gen,0.0009172649999982241
10000,P1,Gen,0.000929688000042006
10000,P1,Gen,0.0009274440001263429
10000,P1,Gen,0.0009286659999361291
10000,P1,Gen,0.0009264530001473759
10000,P1,Gen,0.0009261010000045644
10000,P1,Gen,0.0009328650000952621
10000,P1,Gen,0.0009319319999576692
10000,P1,Gen,0.0009243080000942427
10000,P1,Gen,0.0009210420000727026
10000,P1,Gen,0.0009250789998986875
10000,P1,Gen,0.0009200199999668257
10000,P1,Gen,0.0009289659999467403
10000,P1,Gen,0.0009350489999633282
10000,P1,Gen,0.0009332350000477163
10000,P1,Gen,0.0009423619999324728
10000,P1,Gen,0.0009387150000748079
10000,P1,Gen,0.0009525109999231063
10000,P1,Gen,0.0009351589999369025
10000,P1,Gen,0.0009246089998669049
10000,P1,Gen,0.000919177999776366
10000,P1,Gen,0.0009212420000039856
10000,P1,Gen,0.0009222539999882429
10000,P1,Gen,0.0009221850000358245
10000,P1,Gen,0.0009273129999201046
10000,P1,Gen,0.000926241999877675
10000,P1,Gen,0.0009257509998406022
10000,P1,Gen,0.0009233559999302088
10000,P1,Gen,0.0009309509998729482
10000,P1,Gen,0.000923696999961976
10000,P1,Gen,0.0009224450000147044
10000,P1,Gen,0.0009212320001097396
10000,P1,Gen,0.0009309810000104335
10000,P1,Gen,0.0009269829999993817
10000,P1,Gen,0.000932944999931351
10000,P1,Gen,0.0009342569999262196
10000,P1,Gen,0.0009281449999889446
10000,P1,Gen,0.0009249390000150015
10000,P1,Gen,0.0009271939998143353
10000,P1,Numpy,2.2322000177155132e-05
10000,P1,Numpy,3.246000005674432e-06
10000,P1,Numpy,2.564999931564671e-06
10000,P1,Numpy,2.375000121901394e-06
10000,P1,Numpy,2.3439999949914636e-06
10000,P1,Numpy,2.384000026722788e-06
10000,P1,Numpy,2.334999862796394e-06
10000,P1,Numpy,2.3049999526847387e-06
10000,P1,Numpy,2.3049999526847387e-06
10000,P1,Numpy,2.314000084879808e-06
10000,P1,Numpy,2.314000084879808e-06
10000,P1,Numpy,2.3239999791258015e-06
10000,P1,Numpy,2.314000084879808e-06
10000,P1,Numpy,2.3239999791258015e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.3040001906338148e-06
10000,P1,Numpy,2.324999968550401e-06
10000,P1,Numpy,2.5550000373186776e-06
10000,P1,Numpy,2.294000069014146e-06
10000,P1,Numpy,2.3439999949914636e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.3040001906338148e-06
10000,P1,Numpy,2.3049999526847387e-06
10000,P1,Numpy,2.3049999526847387e-06
10000,P1,Numpy,2.314999846930732e-06
10000,P1,Numpy,2.324999968550401e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.314000084879808e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.314000084879808e-06
10000,P1,Numpy,2.294000069014146e-06
10000,P1,Numpy,2.3040001906338148e-06
10000,P1,Numpy,2.3239999791258015e-06
10000,P1,Numpy,2.3139998575061327e-06
10000,P1,Numpy,2.3049999526847387e-06
10000,P1,Numpy,2.3049999526847387e-06
10000,P1,Numpy,2.305000180058414e-06
10000,P1,Numpy,2.2950000584387453e-06
10000,P1,Numpy,2.29499983106507e-06
10000,P1,Numpy,2.2950000584387453e-06
10000,P1,Numpy,2.294000069014146e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.3239999791258015e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.3039999632601393e-06
10000,P1,Numpy,2.294000069014146e-06
10000,P1,Numpy,2.3239999791258015e-06
10000,P1,Numpy,2.314000084879808e-06
10000,P2,For,0.007377983999958815
10000,P2,For,0.007308643999976994
10000,P2,For,0.007318190999967555
10000,P2,For,0.007415915000137829
10000,P2,For,0.007266865000019607
10000,P2,For,0.007412830000021131
10000,P2,For,0.0070104320000154985
10000,P2,For,0.007048525000072914
10000,P2,For,0.007076176999817108
10000,P2,For,0.0071191269998962525
10000,P2,For,0.007070334999980332
10000,P2,For,0.007122764000087045
10000,P2,For,0.007101122999984
10000,P2,For,0.007056168999952206
10000,P2,For,0.00710099299999456
10000,P2,For,0.00710931900016476
10000,P2,For,0.007069282999964344
10000,P2,For,0.007137932999967234
10000,P2,For,0.007153792000053727
10000,P2,For,0.007107294999968872
10000,P2,For,0.007134507000046142
10000,P2,For,0.007142421000025934
10000,P2,For,0.007129907000035018
10000,P2,For,0.007096094000189623
10000,P2,For,0.007131059000130335
10000,P2,For,0.007123084000113522
10000,P2,For,0.007155144999842378
10000,P2,For,0.00718254599996726
10000,P2,For,0.007171836999987136
10000,P2,For,0.007227160999946136
10000,P2,For,0.007183739000083733
10000,P2,For,0.0071434629999203025
10000,P2,For,0.007113367000101789
10000,P2,For,0.007157209000069997
10000,P2,For,0.007110560999990412
10000,P2,For,0.00713198099992951
10000,P2,For,0.007118005000165795
10000,P2,For,0.00705464599991501
10000,P2,For,0.00712912599988158
10000,P2,For,0.0071487329998944915
10000,P2,For,0.007140496999909374
10000,P2,For,0.007135136999977476
10000,P2,For,0.007172537999849737
10000,P2,For,0.007170734000055745
10000,P2,For,0.0071462480000263895
10000,P2,For,0.0072213490000194724
10000,P2,For,0.007107796000127564
10000,P2,For,0.007159543999932794
10000,P2,For,0.007154073000037897
10000,P2,For,0.007052392000105101
10000,P2,Comp,0.00838390600006278
10000,P2,Comp,0.008271293999996487
10000,P2,Comp,0.008324072999812415
10000,P2,Comp,0.008317641000076037
10000,P2,Comp,0.008196603999977015
10000,P2,Comp,0.00819990000013604
10000,P2,Comp,0.008240335999971649
10000,P2,Comp,0.008234324000113702
10000,P2,Comp,0.008218774999932066
10000,P2,Comp,0.008250383999893529
10000,P2,Comp,0.008258308999984365
10000,P2,Comp,0.0082011220001732
10000,P2,Comp,0.008283527000003232
10000,P2,Comp,0.00826170599998477
10000,P2,Comp,0.008269440000049144
10000,P2,Comp,0.00823278100006064
10000,P2,Comp,0.008426755999835223
10000,P2,Comp,0.008346274999894376
10000,P2,Comp,0.008356994999985545
10000,P2,Comp,0.008254140999952142
10000,P2,Comp,0.008302333000074213
10000,P2,Comp,0.008274509999864677
10000,P2,Comp,0.008300419000079273
10000,P2,Comp,0.008273478000091927
10000,P2,Comp,0.00826387999995859
10000,P2,Comp,0.008289377999972203
10000,P2,Comp,0.008291311999983009
10000,P2,Comp,0.008259451999947487
10000,P2,Comp,0.008307521999995515
10000,P2,Comp,0.008243300999993153
10000,P2,Comp,0.00825082599999405
10000,P2,Comp,0.008231699999896591
10000,P2,Comp,0.008273498000107793
10000,P2,Comp,0.008300959000052899
10000,P2,Comp,0.008301740999968388
10000,P2,Comp,0.008228082999949038
10000,P2,Comp,0.008208174999936091
10000,P2,Comp,0.008227472000044145
10000,P2,Comp,0.008249523000131376
10000,P2,Comp,0.008283015999950294
10000,P2,Comp,0.00831103800010169
10000,P2,Comp,0.008291691999829709
10000,P2,Comp,0.008274840000012773
10000,P2,Comp,0.008292973999914466
10000,P2,Comp,0.008277534999933778
10000,P2,Comp,0.008247217999951317
10000,P2,Comp,0.008279870000023948
10000,P2,Comp,0.008287964999908581
10000,P2,Comp,0.008229845999949248
10000,P2,Comp,0.00819128299986005
10000,P2,Gen,0.00850360999993427
10000,P2,Gen,0.00854003799986458
10000,P2,Gen,0.008543273999976009
10000,P2,Gen,0.00859458100012489
10000,P2,Gen,0.008499352000171712
10000,P2,Gen,0.00850700599994525
10000,P2,Gen,0.008519039000020712
10000,P2,Gen,0.008521062999989226
10000,P2,Gen,0.008524900000111302
10000,P2,Gen,0.008434339999894291
10000,P2,Gen,0.008374306999940018
10000,P2,Gen,0.008401487999890378
10000,P2,Gen,0.00846695199993519
10000,P2,Gen,0.008452963999843632
10000,P2,Gen,0.008422688000109702
10000,P2,Gen,0.008487248999927033
10000,P2,Gen,0.008540929999981017
10000,P2,Gen,0.008399535000080505
10000,P2,Gen,0.008517565999909493
10000,P2,Gen,0.008445381000001362
10000,P2,Gen,0.008532435000006444
10000,P2,Gen,0.008481939000148486
10000,P2,Gen,0.008520733000068503
10000,P2,Gen,0.008500794999918071
10000,P2,Gen,0.008477822000031665
10000,P2,Gen,0.008442014000138442
10000,P2,Gen,0.008447574999991048
10000,P2,Gen,0.008458094000161509
10000,P2,Gen,0.008516353999993953
10000,P2,Gen,0.00849751800001286
10000,P2,Gen,0.008472972000163281
10000,P2,Gen,0.008517065999967599
10000,P2,Gen,0.008523687999968388
10000,P2,Gen,0.008510122999950909
10000,P2,Gen,0.008557160999998814
10000,P2,Gen,0.008558412999946086
10000,P2,Gen,0.008492118999811282
10000,P2,Gen,0.008523246999857292
10000,P2,Gen,0.008496818000139683
10000,P2,Gen,0.008271474000139278
10000,P2,Gen,0.008389675999978863
10000,P2,Gen,0.00835233599991625
10000,P2,Gen,0.00838837399987824
10000,P2,Gen,0.00844752500006507
10000,P2,Gen,0.00844802599999639
10000,P2,Gen,0.008441914000059114
10000,P2,Gen,0.008438737999995283
10000,P2,Gen,0.008365530999981274
10000,P2,Gen,0.008441613000059078
10000,P2,Gen,0.008460059000071851
10000,P2,Numpy,4.362200002105965e-05
10000,P2,Numpy,9.868999995887862e-06
10000,P2,Numpy,8.36599997455778e-06
10000,P2,Numpy,8.054999852902256e-06
10000,P2,Numpy,7.95500000094762e-06
10000,P2,Numpy,7.95500000094762e-06
10000,P2,Numpy,7.95500000094762e-06
10000,P2,Numpy,8.085999979812186e-06
10000,P2,Numpy,7.975000016813283e-06
10000,P2,Numpy,7.975000016813283e-06
10000,P2,Numpy,7.96500012256729e-06
10000,P2,Numpy,7.995000032678945e-06
10000,P2,Numpy,7.954000011523021e-06
10000,P2,Numpy,7.934999985081959e-06
10000,P2,Numpy,7.934999985081959e-06
10000,P2,Numpy,7.925000090835965e-06
10000,P2,Numpy,7.95500000094762e-06
10000,P2,Numpy,7.92499986346229e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,7.925000090835965e-06
10000,P2,Numpy,7.925000090835965e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,8.105999995677848e-06
10000,P2,Numpy,7.944999879327952e-06
10000,P2,Numpy,7.904999847596628e-06
10000,P2,Numpy,8.13500014373858e-06
10000,P2,Numpy,7.92499986346229e-06
10000,P2,Numpy,7.945000106701627e-06
10000,P2,Numpy,7.934999985081959e-06
10000,P2,Numpy,7.915000196589972e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,7.905000074970303e-06
10000,P2,Numpy,8.064999974521925e-06
10000,P2,Numpy,7.934999985081959e-06
10000,P2,Numpy,7.934999985081959e-06
10000,P2,Numpy,7.905000074970303e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,7.934999985081959e-06
10000,P2,Numpy,7.92499986346229e-06
10000,P2,Numpy,7.904999847596628e-06
10000,P2,Numpy,7.92499986346229e-06
10000,P2,Numpy,7.944999879327952e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,7.995000032678945e-06
10000,P2,Numpy,7.914999969216296e-06
10000,P2,Numpy,7.944999879327952e-06
10000,P2,Numpy,7.945000106701627e-06
10000,P2,Numpy,8.155999921655166e-06
10000,P2,Numpy,7.995000032678945e-06
10000,P3,For,0.009778868000012153
10000,P3,For,0.00978012099994885
10000,P3,For,0.009670513999935793
10000,P3,For,0.009681494999995266
10000,P3,For,0.009708074999934979
10000,P3,For,0.009659284000008483
10000,P3,For,0.009638032999873758
10000,P3,For,0.009638654999889695
10000,P3,For,0.009698486999923261
10000,P3,For,0.009709106999935102
10000,P3,For,0.009668960999988485
10000,P3,For,0.009665824999956385
10000,P3,For,0.009690120999948704
10000,P3,For,0.009819906000075207
10000,P3,For,0.009646288999874741
10000,P3,For,0.009734014000059688
10000,P3,For,0.00967533299990464
10000,P3,For,0.009862576000159606
10000,P3,For,0.009716210000078718
10000,P3,For,0.00972986600004333
10000,P3,For,0.009570425999982035
10000,P3,For,0.00991483400002835
10000,P3,For,0.009682968000106484
10000,P3,For,0.009685502000138513
10000,P3,For,0.009866503000012017
10000,P3,For,0.009868245999996361
10000,P3,For,0.009722601999783365
10000,P3,For,0.010072850999904404
10000,P3,For,0.00962873599996783
10000,P3,For,0.009669212000062544
10000,P3,For,0.010217732999990403
10000,P3,For,0.009837246999950366
10000,P3,For,0.009779389999948762
10000,P3,For,0.009860661999937292
10000,P3,For,0.009652169999981197
10000,P3,For,0.00985296799990465
10000,P3,For,0.009789187000023958
10000,P3,For,0.009824725000044054
10000,P3,For,0.009777214999985517
10000,P3,For,0.009786702999917907
10000,P3,For,0.009893142999999327
10000,P3,For,0.009790830999918398
10000,P3,For,0.00980516799995712
10000,P3,For,0.009787494999955015
10000,P3,For,0.009796090999998341
10000,P3,For,0.009814184000106252
10000,P3,For,0.009772326000074827
10000,P3,For,0.009421214999974836
10000,P3,For,0.009674021999899196
10000,P3,For,0.00967699700004232
10000,P3,Comp,0.01922864799985291
10000,P3,Comp,0.019100035000064963
10000,P3,Comp,0.019192378000070676
10000,P3,Comp,0.01930134300005193
10000,P3,Comp,0.019179003000090233
10000,P3,Comp,0.01919534399985423
10000,P3,Comp,0.0191419230000065
10000,P3,Comp,0.01909459400008018
10000,P3,Comp,0.019158694999987347
10000,P3,Comp,0.019191776999832655
10000,P3,Comp,0.019105104000118445
10000,P3,Comp,0.019246691000034843
10000,P3,Comp,0.018726652999930593
10000,P3,Comp,0.018747712000049432
10000,P3,Comp,0.018797816999949646
10000,P3,Comp,0.018972294000150214
10000,P3,Comp,0.019110604000161402
10000,P3,Comp,0.018979687999944872
10000,P3,Comp,0.018988935000152196
10000,P3,Comp,0.019002690999968763
10000,P3,Comp,0.019102960000054736
10000,P3,Comp,0.019099743999959173
10000,P3,Comp,0.019035232000078395
10000,P3,Comp,0.019126214000152686
10000,P3,Comp,0.019123449000062465
10000,P3,Comp,0.019061972999907084
10000,P3,Comp,0.018999514999904932
10000,P3,Comp,0.019021616999907565
10000,P3,Comp,0.019026706999966336
10000,P3,Comp,0.019070679000151358
10000,P3,Comp,0.01909180899997409
10000,P3,Comp,0.01899182099987229
10000,P3,Comp,0.019207496000035462
10000,P3,Comp,0.01920506199985539
10000,P3,Comp,0.019185886000059327
10000,P3,Comp,0.018888176000018575
10000,P3,Comp,0.01902039500009778
10000,P3,Comp,0.01897688299982292
10000,P3,Comp,0.018913935000000492
10000,P3,Comp,0.018992551999872376
10000,P3,Comp,0.019061262000150236
10000,P3,Comp,0.019008382000038182
10000,P3,Comp,0.018856998000046588
10000,P3,Comp,0.018872526999984984
10000,P3,Comp,0.018915497000079995
10000,P3,Comp,0.018973467000023447
10000,P3,Comp,0.01888657300014529
10000,P3,Comp,0.01888735500006078
10000,P3,Comp,0.01904135400013729
10000,P3,Comp,0.019009684000138805
10000,P3,Gen,0.019332412000039767
10000,P3,Gen,0.019300120000025345
10000,P3,Gen,0.019455844000049183
10000,P3,Gen,0.019029532000104155
10000,P3,Gen,0.01927961100000175
10000,P3,Gen,0.019328042000097412
10000,P3,Gen,0.019282806999854074
10000,P3,Gen,0.01886016200000995
10000,P3,Gen,0.01893258799987052
10000,P3,Gen,0.019228013999963878
10000,P3,Gen,0.019166016999861313
10000,P3,Gen,0.01885365999987698
10000,P3,Gen,0.01888726300012422
10000,P3,Gen,0.018993081999951755
10000,P3,Gen,0.0189709200001289
10000,P3,Gen,0.019017507999933514
10000,P3,Gen,0.01899281200007863
10000,P3,Gen,0.01897896600007698
10000,P3,Gen,0.019027316999881805
10000,P3,Gen,0.019187677999980224
10000,P3,Gen,0.019031224000173097
10000,P3,Gen,0.019018520999907196
10000,P3,Gen,0.01918635499987431
10000,P3,Gen,0.019199459999981627
10000,P3,Gen,0.0191838910000115
10000,P3,Gen,0.019082871000136947
10000,P3,Gen,0.01912383800004136
10000,P3,Gen,0.01905606000013904
10000,P3,Gen,0.01917271999991499
10000,P3,Gen,0.01915461600015078
10000,P3,Gen,0.019148825000002034
10000,P3,Gen,0.019112325999913082
10000,P3,Gen,0.019256818000030762
10000,P3,Gen,0.019283819000065705
10000,P3,Gen,0.019134798999857594
10000,P3,Gen,0.019222332999788705
10000,P3,Gen,0.01917321099995206
10000,P3,Gen,0.019162400999903184
10000,P3,Gen,0.01912291600001481
10000,P3,Gen,0.019165836999945896
10000,P3,Gen,0.01923912500001279
10000,P3,Gen,0.019158443000151237
10000,P3,Gen,0.019009052999990672
10000,P3,Gen,0.019045441000116625
10000,P3,Gen,0.019157722000045396
10000,P3,Gen,0.01945727500014982
10000,P3,Gen,0.01911497099990811
10000,P3,Gen,0.019047234000026947
10000,P3,Gen,0.019275983999932578
10000,P3,Gen,0.019175273999962883
10000,P3,Numpy,0.0001508139998804836
10000,P3,Numpy,0.00011995500017292215
10000,P3,Numpy,0.00011889300003531389
10000,P3,Numpy,0.00012239099987709778
10000,P3,Numpy,0.00011887400000887283
10000,P3,Numpy,0.00011915400000361842
10000,P3,Numpy,0.0001188339999771415
10000,P3,Numpy,0.00012564700000439188
10000,P3,Numpy,0.00011877300016749359
10000,P3,Numpy,0.00011851299996123998
10000,P3,Numpy,0.00011845300014101667
10000,P3,Numpy,0.00011866299996654561
10000,P3,Numpy,0.00012086699985047744
10000,P3,Numpy,0.0001185629998872173
10000,P3,Numpy,0.00011853299997710565
10000,P3,Numpy,0.00012624699979824072
10000,P3,Numpy,0.00011901299990313419
10000,P3,Numpy,0.00011876300004587392
10000,P3,Numpy,0.00011876300004587392
10000,P3,Numpy,0.00011863299982906028
10000,P3,Numpy,0.00012435400003596442
10000,P3,Numpy,0.00011916400012523809
10000,P3,Numpy,0.00011953500006711693
10000,P3,Numpy,0.00011930400000892405
10000,P3,Numpy,0.0001279000000522501
10000,P3,Numpy,0.00011941399998249835
10000,P3,Numpy,0.00011939499995605729
10000,P3,Numpy,0.00011943399999836402
10000,P3,Numpy,0.00011968500007242255
10000,P3,Numpy,0.00011958499999309424
10000,P3,Numpy,0.00011939399996663269
10000,P3,Numpy,0.0001196149999032059
10000,P3,Numpy,0.00012396300007821992
10000,P3,Numpy,0.00011936500004594564
10000,P3,Numpy,0.00011968499984504888
10000,P3,Numpy,0.00011962500002482557
10000,P3,Numpy,0.00012130800018894661
10000,P3,Numpy,0.00011874300003000826
10000,P3,Numpy,0.00011858299990308296
10000,P3,Numpy,0.00011868299998241127
10000,P3,Numpy,0.00012369299997772032
10000,P3,Numpy,0.00011862299993481429
10000,P3,Numpy,0.0001187130001198966
10000,P3,Numpy,0.00011884400009876117
10000,P3,Numpy,0.00012019599989798735
10000,P3,Numpy,0.00012082700004611979
10000,P3,Numpy,0.00011860299991894863
10000,P3,Numpy,0.00011887400000887283
10000,P3,Numpy,0.00011876300004587392
10000,P3,Numpy,0.00012493500003074587
100000,P1,For,0.01042234700003064
100000,P1,For,0.010297361999846544
